Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total
13.03,No Sugar,0.061,Health and Hygiene,150.09,2009,Medium,Tier 2,Supermarket Type2,3601.38
12.98,Regular,0.021,Breads,147.61,2009,Medium,Tier 2,Supermarket Type2,3538.76
8.88,Low Sugar,0.115,Dairy,124.27,1998,Small,Tier 3,Food Mart,2134.72
7.96,Regular,0.016,Fruits and Vegetables,85.82,1998,Small,Tier 3,Food Mart,1139.7
11.58,Regular,0.041,Fruits and Vegetables,114.95,2009,Medium,Tier 2,Supermarket Type2,2554.65
15.91,Low Sugar,0.092,Frozen Foods,171.64,1987,High,Tier 2,Supermarket Type1,4693.82
15.29,Low Sugar,0.082,Dairy,189.49,1987,High,Tier 2,Supermarket Type1,4918.47
12.11,Low Sugar,0.105,Frozen Foods,135.19,2009,Medium,Tier 2,Supermarket Type2,3089.44
9.26,Regular,0.021,Canned,83.38,1998,Small,Tier 3,Food Mart,1385.27
8.02,Low Sugar,0.065,Canned,124.97,1987,High,Tier 2,Supermarket Type1,3090.42
15.73,Low Sugar,0.031,Baking Goods,149.47,1987,High,Tier 2,Supermarket Type1,4199.64
10.96,Regular,0.137,Canned,122.25,2009,Medium,Tier 2,Supermarket Type2,2564.53
16.01,Low Sugar,0.027,Fruits and Vegetables,117.48,2009,Medium,Tier 2,Supermarket Type2,3606.55
12.16,Low Sugar,0.084,Snack Foods,130.67,2009,Medium,Tier 2,Supermarket Type2,3006.41
13.27,Regular,0.046,Snack Foods,173.14,1987,High,Tier 2,Supermarket Type1,4128.1
13.36,Low Sugar,0.12,Hard Drinks,106.07,2009,Medium,Tier 2,Supermarket Type2,2774.76
13.0,Regular,0.054,Fruits and Vegetables,166.75,2009,Medium,Tier 2,Supermarket Type2,3934.53
17.87,Low Sugar,0.124,Snack Foods,166.45,1999,Medium,Tier 1,Departmental Store,5029.11
12.87,Low Sugar,0.175,Dairy,146.47,2009,Medium,Tier 2,Supermarket Type2,3491.96
14.09,Regular,0.047,Hard Drinks,192.85,1987,High,Tier 2,Supermarket Type1,4714.9
12.65,Low Sugar,0.121,Frozen Foods,149.9,2009,Medium,Tier 2,Supermarket Type2,3511.58
10.48,Low Sugar,0.073,Meat,92.63,1998,Small,Tier 3,Food Mart,1849.5
11.75,Low Sugar,0.03,Starchy Foods,161.68,2009,Medium,Tier 2,Supermarket Type2,3549.16
11.3,Regular,0.099,Hard Drinks,90.06,1998,Small,Tier 3,Food Mart,1981.53
12.8,No Sugar,0.034,Others,147.19,2009,Medium,Tier 2,Supermarket Type2,3488.76
12.83,Low Sugar,0.068,Fruits and Vegetables,162.76,2009,Medium,Tier 2,Supermarket Type2,3814.11
13.56,Low Sugar,0.029,Baking Goods,126.47,2009,Medium,Tier 2,Supermarket Type2,3238.63
14.41,Low Sugar,0.186,Fruits and Vegetables,151.56,2009,Medium,Tier 2,Supermarket Type2,3942.23
8.26,reg,0.086,Meat,131.1,1998,Small,Tier 3,Food Mart,2134.22
15.52,Regular,0.086,Soft Drinks,214.65,1999,Medium,Tier 1,Departmental Store,5483.76
13.46,Low Sugar,0.162,Soft Drinks,159.2,2009,Medium,Tier 2,Supermarket Type2,2620.02
12.6,Low Sugar,0.047,Fruits and Vegetables,130.67,2009,Medium,Tier 2,Supermarket Type2,3105.79
11.15,Low Sugar,0.079,Soft Drinks,92.71,1998,Small,Tier 3,Food Mart,2001.18
15.8,Low Sugar,0.151,Canned,154.49,1999,Medium,Tier 1,Departmental Store,4317.3
15.67,Regular,0.076,Frozen Foods,135.36,2009,Medium,Tier 2,Supermarket Type2,3897.08
10.4,Low Sugar,0.026,Frozen Foods,131.82,2009,Medium,Tier 2,Supermarket Type2,2632.49
14.04,Low Sugar,0.058,Canned,120.97,2009,Medium,Tier 2,Supermarket Type2,3234.27
10.87,No Sugar,0.007,Health and Hygiene,143.98,2009,Medium,Tier 2,Supermarket Type2,2988.38
10.71,Low Sugar,0.033,Snack Foods,116.75,1987,High,Tier 2,Supermarket Type1,2395.76
10.57,reg,0.104,Meat,139.54,2009,Medium,Tier 2,Supermarket Type2,2828.88
13.64,Low Sugar,0.021,Seafood,163.72,1987,High,Tier 2,Supermarket Type1,4017.87
12.03,Low Sugar,0.031,Baking Goods,137.0,2009,Medium,Tier 2,Supermarket Type2,3108.32
11.15,Low Sugar,0.03,Snack Foods,180.22,2009,Medium,Tier 2,Supermarket Type2,3792.93
14.29,No Sugar,0.018,Health and Hygiene,188.64,1987,High,Tier 2,Supermarket Type1,4675.53
10.69,Regular,0.176,Canned,116.37,1987,High,Tier 2,Supermarket Type1,2381.71
10.46,Low Sugar,0.022,Snack Foods,139.16,2009,Medium,Tier 2,Supermarket Type2,2795.87
12.88,Low Sugar,0.123,Starchy Foods,158.39,2009,Medium,Tier 2,Supermarket Type2,3738.06
11.85,No Sugar,0.045,Household,147.18,2009,Medium,Tier 2,Supermarket Type2,3274.24
12.22,Regular,0.05,Canned,158.49,2009,Medium,Tier 2,Supermarket Type2,3589.01
10.39,No Sugar,0.012,Health and Hygiene,101.82,1998,Small,Tier 3,Food Mart,2016.07
11.49,Regular,0.013,Baking Goods,128.44,2009,Medium,Tier 2,Supermarket Type2,2809.48
12.71,Low Sugar,0.085,Dairy,114.22,2009,Medium,Tier 2,Supermarket Type2,2794.23
15.06,Regular,0.014,Soft Drinks,146.66,2009,Medium,Tier 2,Supermarket Type2,3990.69
13.65,Low Sugar,0.09,Dairy,184.25,1999,Medium,Tier 1,Departmental Store,4440.59
14.81,Low Sugar,0.122,Snack Foods,197.96,1987,High,Tier 2,Supermarket Type1,4983.27
11.08,Low Sugar,0.073,Meat,151.76,2009,Medium,Tier 2,Supermarket Type2,3193.59
12.22,Low Sugar,0.032,Canned,137.13,2009,Medium,Tier 2,Supermarket Type2,3153.74
12.91,Low Sugar,0.126,Baking Goods,101.91,2009,Medium,Tier 2,Supermarket Type2,2588.96
12.78,Low Sugar,0.07,Fruits and Vegetables,143.58,2009,Medium,Tier 2,Supermarket Type2,3411.71
13.94,Low Sugar,0.147,Canned,158.27,2009,Medium,Tier 2,Supermarket Type2,3974.5
14.5,Regular,0.06,Frozen Foods,192.2,1987,High,Tier 2,Supermarket Type1,4794.54
8.84,Low Sugar,0.017,Baking Goods,85.76,1998,Small,Tier 3,Food Mart,1337.22
11.97,Regular,0.034,Snack Foods,127.04,2009,Medium,Tier 2,Supermarket Type2,2890.19
14.43,Regular,0.108,Breakfast,159.35,1987,High,Tier 2,Supermarket Type1,4106.38
14.62,Regular,0.064,Canned,150.23,2009,Medium,Tier 2,Supermarket Type2,3962.62
15.0,Low Sugar,0.083,Fruits and Vegetables,170.27,1999,Medium,Tier 1,Departmental Store,4459.05
14.75,Low Sugar,0.042,Canned,220.18,1999,Medium,Tier 1,Departmental Store,5423.6
13.2,Low Sugar,0.138,Soft Drinks,159.85,2009,Medium,Tier 2,Supermarket Type2,3838.27
10.01,Regular,0.055,Fruits and Vegetables,125.72,1987,High,Tier 2,Supermarket Type1,2420.94
12.18,Low Sugar,0.102,Snack Foods,111.27,2009,Medium,Tier 2,Supermarket Type2,2614.19
12.34,Regular,0.085,Fruits and Vegetables,145.17,2009,Medium,Tier 2,Supermarket Type2,3344.33
13.52,Low Sugar,0.066,Meat,167.92,1987,High,Tier 2,Supermarket Type1,4076.94
9.37,Regular,0.031,Fruits and Vegetables,154.88,2009,Medium,Tier 2,Supermarket Type2,2871.93
14.28,Low Sugar,0.079,Fruits and Vegetables,141.66,2009,Medium,Tier 2,Supermarket Type2,3710.49
8.57,Low Sugar,0.112,Meat,111.78,1998,Small,Tier 3,Food Mart,1808.35
11.96,Regular,0.05,Snack Foods,147.06,2009,Medium,Tier 2,Supermarket Type2,3297.14
12.2,reg,0.067,Fruits and Vegetables,161.51,2009,Medium,Tier 2,Supermarket Type2,3646.72
12.96,Low Sugar,0.064,Fruits and Vegetables,189.35,1999,Medium,Tier 1,Departmental Store,4388.07
13.61,Low Sugar,0.024,Starchy Foods,158.23,2009,Medium,Tier 2,Supermarket Type2,3899.56
13.25,No Sugar,0.039,Health and Hygiene,144.34,2009,Medium,Tier 2,Supermarket Type2,3533.9
11.16,reg,0.087,Baking Goods,178.04,2009,Medium,Tier 2,Supermarket Type2,3750.6
8.94,Regular,0.083,Frozen Foods,82.09,1998,Small,Tier 3,Food Mart,1285.77
13.95,Low Sugar,0.055,Canned,190.17,1987,High,Tier 2,Supermarket Type1,4628.81
13.16,No Sugar,0.142,Household,142.18,2009,Medium,Tier 2,Supermarket Type2,3469.66
11.75,Regular,0.043,Meat,105.44,1987,High,Tier 2,Supermarket Type1,2397.77
14.69,Low Sugar,0.076,Dairy,171.16,1999,Medium,Tier 1,Departmental Store,4407.9
11.38,Low Sugar,0.12,Soft Drinks,149.29,2009,Medium,Tier 2,Supermarket Type2,3211.85
14.59,Low Sugar,0.052,Frozen Foods,154.95,1987,High,Tier 2,Supermarket Type1,4053.82
10.08,Low Sugar,0.026,Snack Foods,98.23,1998,Small,Tier 3,Food Mart,1872.35
16.05,Regular,0.133,Canned,170.26,1987,High,Tier 2,Supermarket Type1,4697.11
13.68,Low Sugar,0.024,Snack Foods,138.77,2009,Medium,Tier 2,Supermarket Type2,3516.86
9.96,No Sugar,0.19,Household,109.74,1998,Small,Tier 3,Food Mart,2080.79
11.99,Regular,0.183,Frozen Foods,159.66,2009,Medium,Tier 2,Supermarket Type2,3562.91
7.27,Regular,0.025,Baking Goods,129.68,1998,Small,Tier 3,Food Mart,1882.37
14.26,No Sugar,0.112,Health and Hygiene,147.57,2009,Medium,Tier 2,Supermarket Type2,3826.56
18.0,Regular,0.095,Baking Goods,233.52,1999,Medium,Tier 1,Departmental Store,6432.28
14.2,Low Sugar,0.049,Frozen Foods,162.54,1987,High,Tier 2,Supermarket Type1,4119.73
12.42,No Sugar,0.061,Household,164.19,2009,Medium,Tier 2,Supermarket Type2,3751.21
15.05,Low Sugar,0.055,Snack Foods,149.42,1987,High,Tier 2,Supermarket Type1,4044.46
14.78,Low Sugar,0.119,Meat,152.48,1987,High,Tier 2,Supermarket Type1,4044.94
12.51,Low Sugar,0.015,Fruits and Vegetables,157.5,2009,Medium,Tier 2,Supermarket Type2,3635.72
9.54,Regular,0.04,Snack Foods,106.83,1998,Small,Tier 3,Food Mart,1926.2
8.16,No Sugar,0.025,Household,104.51,1998,Small,Tier 3,Food Mart,1567.08
13.33,Low Sugar,0.053,Hard Drinks,103.88,2009,Medium,Tier 2,Supermarket Type2,2723.71
13.33,Low Sugar,0.129,Fruits and Vegetables,144.62,2009,Medium,Tier 2,Supermarket Type2,3557.11
9.29,Low Sugar,0.05,Meat,116.73,1998,Small,Tier 3,Food Mart,2073.22
10.55,No Sugar,0.072,Health and Hygiene,111.63,1998,Small,Tier 3,Food Mart,2254.13
16.34,Low Sugar,0.027,Fruits and Vegetables,179.16,1999,Medium,Tier 1,Departmental Store,4944.18
8.04,Low Sugar,0.014,Canned,145.35,1987,High,Tier 2,Supermarket Type1,2377.27
13.07,Low Sugar,0.088,Fruits and Vegetables,121.25,2009,Medium,Tier 2,Supermarket Type2,3019.58
14.85,Low Sugar,0.07,Frozen Foods,169.28,1999,Medium,Tier 1,Departmental Store,4404.72
12.46,Low Sugar,0.042,Snack Foods,146.24,2009,Medium,Tier 2,Supermarket Type2,2401.99
14.47,Low Sugar,0.17,Fruits and Vegetables,147.45,2009,Medium,Tier 2,Supermarket Type2,3872.32
13.51,Low Sugar,0.082,Fruits and Vegetables,142.16,2009,Medium,Tier 2,Supermarket Type2,3547.98
9.02,Regular,0.032,Fruits and Vegetables,104.6,1998,Small,Tier 3,Food Mart,1763.22
9.57,Regular,0.031,Canned,122.46,1998,Small,Tier 3,Food Mart,980.96
13.27,Regular,0.069,Seafood,194.1,1987,High,Tier 2,Supermarket Type1,4556.64
11.24,Low Sugar,0.067,Canned,94.45,1998,Small,Tier 3,Food Mart,2057.95
15.7,Low Sugar,0.015,Snack Foods,163.16,1999,Medium,Tier 1,Departmental Store,4471.91
12.12,Low Sugar,0.102,Breads,134.17,2009,Medium,Tier 2,Supermarket Type2,3068.75
14.01,Regular,0.184,Meat,177.48,1999,Medium,Tier 1,Departmental Store,4382.45
13.74,Regular,0.078,Frozen Foods,124.69,2009,Medium,Tier 2,Supermarket Type2,3242.71
13.07,No Sugar,0.054,Health and Hygiene,171.1,1987,High,Tier 2,Supermarket Type1,4040.57
13.98,Low Sugar,0.027,Meat,204.34,1987,High,Tier 2,Supermarket Type1,4925.23
14.28,Low Sugar,0.055,Dairy,200.43,1987,High,Tier 2,Supermarket Type1,4914.64
13.69,Low Sugar,0.171,Soft Drinks,175.92,1999,Medium,Tier 1,Departmental Store,4279.81
6.8,No Sugar,0.191,Health and Hygiene,85.64,1998,Small,Tier 3,Food Mart,875.08
12.52,Low Sugar,0.011,Dairy,126.79,2009,Medium,Tier 2,Supermarket Type2,2964.71
8.03,Regular,0.076,Soft Drinks,77.05,1998,Small,Tier 3,Food Mart,976.77
14.42,Regular,0.065,Snack Foods,170.37,1999,Medium,Tier 1,Departmental Store,4330.37
10.45,Low Sugar,0.089,Dairy,89.04,1998,Small,Tier 3,Food Mart,972.72
9.47,Low Sugar,0.052,Canned,137.5,2009,Medium,Tier 2,Supermarket Type2,2537.93
11.11,Low Sugar,0.138,Baking Goods,152.91,2009,Medium,Tier 2,Supermarket Type2,3224.02
16.29,Low Sugar,0.098,Frozen Foods,200.39,1999,Medium,Tier 1,Departmental Store,5366.59
13.28,No Sugar,0.055,Household,135.31,2009,Medium,Tier 2,Supermarket Type2,3354.83
13.68,Low Sugar,0.018,Baking Goods,163.02,1987,High,Tier 2,Supermarket Type1,4012.35
13.28,Regular,0.035,Baking Goods,188.91,1999,Medium,Tier 1,Departmental Store,4451.41
11.89,No Sugar,0.156,Household,131.49,2009,Medium,Tier 2,Supermarket Type2,2963.71
17.68,Low Sugar,0.049,Baking Goods,152.4,1999,Medium,Tier 1,Departmental Store,4699.08
15.56,Low Sugar,0.153,Canned,171.92,1987,High,Tier 2,Supermarket Type1,4619.83
12.8,Regular,0.022,Canned,145.28,2009,Medium,Tier 2,Supermarket Type2,3450.78
13.92,Regular,0.054,Canned,181.48,1999,Medium,Tier 1,Departmental Store,4443.6
12.3,Low Sugar,0.008,Fruits and Vegetables,157.24,2009,Medium,Tier 2,Supermarket Type2,3582.28
13.88,Regular,0.035,Fruits and Vegetables,124.77,2009,Medium,Tier 2,Supermarket Type2,3275.64
10.11,Low Sugar,0.053,Hard Drinks,88.91,1998,Small,Tier 3,Food Mart,1690.08
10.94,Low Sugar,0.026,Frozen Foods,119.27,1987,High,Tier 2,Supermarket Type1,2499.11
15.89,Low Sugar,0.171,Soft Drinks,168.67,1987,High,Tier 2,Supermarket Type1,4627.99
13.99,No Sugar,0.083,Health and Hygiene,145.92,2009,Medium,Tier 2,Supermarket Type2,3733.52
13.51,Low Sugar,0.099,Snack Foods,157.57,2009,Medium,Tier 2,Supermarket Type2,3863.1
8.99,Regular,0.041,Starchy Foods,101.94,1998,Small,Tier 3,Food Mart,1702.62
10.42,Low Sugar,0.039,Fruits and Vegetables,132.7,2009,Medium,Tier 2,Supermarket Type2,2655.46
9.45,Low Sugar,0.094,Canned,162.28,1998,Small,Tier 3,Food Mart,563.06
11.76,Low Sugar,0.068,Hard Drinks,164.98,2009,Medium,Tier 2,Supermarket Type2,3618.29
12.75,Regular,0.028,Meat,136.17,2009,Medium,Tier 2,Supermarket Type2,3252.6
14.33,Low Sugar,0.097,Frozen Foods,131.06,2009,Medium,Tier 2,Supermarket Type2,3505.13
13.47,Regular,0.151,Dairy,120.15,2009,Medium,Tier 2,Supermarket Type2,3086.94
10.32,Regular,0.025,Snack Foods,122.2,1987,High,Tier 2,Supermarket Type1,2417.92
9.42,Regular,0.074,Dairy,103.32,1998,Small,Tier 3,Food Mart,1828.94
11.83,Regular,0.123,Frozen Foods,130.51,2009,Medium,Tier 2,Supermarket Type2,4968.47
13.07,Low Sugar,0.068,Soft Drinks,155.38,2009,Medium,Tier 2,Supermarket Type2,3718.13
10.63,No Sugar,0.034,Health and Hygiene,194.38,2009,Medium,Tier 2,Supermarket Type2,3964.22
10.47,Low Sugar,0.16,Soft Drinks,93.51,1999,Medium,Tier 1,Departmental Store,5233.53
11.24,No Sugar,0.014,Household,143.02,2009,Medium,Tier 2,Supermarket Type2,3050.9
11.78,Regular,0.066,Meat,144.41,2009,Medium,Tier 2,Supermarket Type2,3203.44
13.89,Regular,0.053,Hard Drinks,182.66,1999,Medium,Tier 1,Departmental Store,4462.33
13.66,Regular,0.076,Snack Foods,144.64,2009,Medium,Tier 2,Supermarket Type2,3632.6
13.05,Low Sugar,0.017,Breads,163.79,2009,Medium,Tier 2,Supermarket Type2,3886.66
12.67,No Sugar,0.054,Health and Hygiene,158.53,2009,Medium,Tier 2,Supermarket Type2,3691.88
13.22,Low Sugar,0.108,Dairy,161.92,2009,Medium,Tier 2,Supermarket Type2,3885.99
12.25,No Sugar,0.015,Household,127.43,2009,Medium,Tier 2,Supermarket Type2,2960.39
9.26,Regular,0.043,Soft Drinks,102.67,1998,Small,Tier 3,Food Mart,1778.64
14.07,Low Sugar,0.05,Meat,154.0,2009,Medium,Tier 2,Supermarket Type2,3917.18
14.02,Low Sugar,0.128,Soft Drinks,182.28,1999,Medium,Tier 1,Departmental Store,4482.93
11.79,Low Sugar,0.009,Dairy,114.28,2009,Medium,Tier 2,Supermarket Type2,2587.35
11.07,Low Sugar,0.086,Soft Drinks,88.12,1998,Small,Tier 3,Food Mart,1889.31
8.36,Regular,0.042,Meat,109.94,1998,Small,Tier 3,Food Mart,1724.22
15.1,No Sugar,0.142,Household,211.63,1999,Medium,Tier 1,Departmental Store,5327.77
14.2,Regular,0.128,Frozen Foods,181.79,1987,High,Tier 2,Supermarket Type1,4513.23
13.0,Low Sugar,0.047,Hard Drinks,191.22,1999,Medium,Tier 1,Departmental Store,4436.42
7.44,Low Sugar,0.076,Snack Foods,78.77,1998,Small,Tier 3,Food Mart,877.75
13.34,Regular,0.03,Canned,160.5,2009,Medium,Tier 2,Supermarket Type2,3884.64
12.89,Low Sugar,0.107,Fruits and Vegetables,153.05,2009,Medium,Tier 2,Supermarket Type2,3630.18
12.57,Low Sugar,0.152,Canned,156.22,2009,Medium,Tier 2,Supermarket Type2,3622.6
14.62,Low Sugar,0.033,Fruits and Vegetables,147.64,2009,Medium,Tier 2,Supermarket Type2,3909.34
10.17,Low Sugar,0.005,Snack Foods,149.66,2009,Medium,Tier 2,Supermarket Type2,2947.09
12.69,No Sugar,0.172,Others,135.49,2009,Medium,Tier 2,Supermarket Type2,3225.11
10.34,Low Sugar,0.142,Canned,119.07,1987,High,Tier 2,Supermarket Type1,2358.07
8.9,Low Sugar,0.108,Snack Foods,149.8,2009,Medium,Tier 2,Supermarket Type2,2660.66
16.35,Low Sugar,0.08,Baking Goods,202.49,1999,Medium,Tier 1,Departmental Store,5422.91
17.84,Low Sugar,0.037,Soft Drinks,148.23,1987,High,Tier 2,Supermarket Type1,4650.04
11.35,Low Sugar,0.027,Dairy,119.64,1998,Small,Tier 3,Food Mart,1011.63
16.64,Regular,0.094,Canned,194.6,1999,Medium,Tier 1,Departmental Store,5327.33
11.47,No Sugar,0.09,Health and Hygiene,157.41,2009,Medium,Tier 2,Supermarket Type2,3397.82
13.53,Regular,0.048,Snack Foods,193.39,1987,High,Tier 2,Supermarket Type1,4599.89
17.16,Regular,0.036,Canned,167.49,1999,Medium,Tier 1,Departmental Store,4891.32
14.76,Low Sugar,0.011,Meat,167.31,1999,Medium,Tier 1,Departmental Store,4344.66
14.68,Low Sugar,0.063,Meat,115.49,2009,Medium,Tier 2,Supermarket Type2,3266.3
13.91,Low Sugar,0.092,Fruits and Vegetables,175.26,1999,Medium,Tier 1,Departmental Store,4313.99
13.28,Low Sugar,0.072,Snack Foods,208.64,1987,High,Tier 2,Supermarket Type1,4854.85
10.14,Low Sugar,0.01,Canned,95.25,1998,Small,Tier 3,Food Mart,1826.77
11.07,Low Sugar,0.067,Dairy,125.2,2009,Medium,Tier 2,Supermarket Type2,2648.73
12.64,Low Sugar,0.12,Soft Drinks,103.88,2009,Medium,Tier 2,Supermarket Type2,2567.56
9.52,Low Sugar,0.022,Baking Goods,154.55,2009,Medium,Tier 2,Supermarket Type2,2899.65
12.76,Low Sugar,0.036,Soft Drinks,136.48,2009,Medium,Tier 2,Supermarket Type2,3262.43
11.05,Low Sugar,0.081,Canned,119.87,2009,Medium,Tier 2,Supermarket Type2,2535.28
13.88,Regular,0.014,Canned,215.19,1999,Medium,Tier 1,Departmental Store,5126.13
12.7,Low Sugar,0.038,Fruits and Vegetables,170.48,2009,Medium,Tier 2,Supermarket Type2,3944.7
7.6,Regular,0.021,Frozen Foods,175.03,2009,Medium,Tier 2,Supermarket Type2,2885.13
10.77,Low Sugar,0.07,Starchy Foods,107.46,1998,Small,Tier 3,Food Mart,2217.81
11.3,No Sugar,0.077,Household,166.76,2009,Medium,Tier 2,Supermarket Type2,3551.79
10.94,Regular,0.154,Fruits and Vegetables,87.18,1998,Small,Tier 3,Food Mart,1842.65
12.39,Regular,0.055,Canned,114.62,2009,Medium,Tier 2,Supermarket Type2,2730.21
16.12,Low Sugar,0.097,Dairy,160.18,1987,High,Tier 2,Supermarket Type1,4505.81
13.2,Low Sugar,0.129,Snack Foods,119.89,2009,Medium,Tier 2,Supermarket Type2,3022.29
8.52,Low Sugar,0.055,Soft Drinks,135.91,1998,Small,Tier 3,Food Mart,2290.82
12.79,No Sugar,0.015,Household,150.11,2009,Medium,Tier 2,Supermarket Type2,3547.77
14.34,No Sugar,0.026,Health and Hygiene,162.64,1987,High,Tier 2,Supermarket Type1,4153.3
13.66,Low Sugar,0.162,Snack Foods,168.46,1987,High,Tier 2,Supermarket Type1,4119.22
12.28,Regular,0.171,Baking Goods,141.96,2009,Medium,Tier 2,Supermarket Type2,3265.24
12.49,Regular,0.047,Fruits and Vegetables,124.68,2009,Medium,Tier 2,Supermarket Type2,2958.3
11.56,Low Sugar,0.188,Fruits and Vegetables,132.58,2009,Medium,Tier 2,Supermarket Type2,2909.79
12.0,No Sugar,0.149,Health and Hygiene,106.22,1987,High,Tier 2,Supermarket Type1,2470.78
12.55,No Sugar,0.162,Household,157.6,2009,Medium,Tier 2,Supermarket Type2,3805.39
13.05,Regular,0.055,Dairy,165.89,2009,Medium,Tier 2,Supermarket Type2,3929.68
11.08,No Sugar,0.015,Household,143.99,2009,Medium,Tier 2,Supermarket Type2,3034.97
13.56,Low Sugar,0.027,Frozen Foods,151.12,2009,Medium,Tier 2,Supermarket Type2,3741.07
14.55,Regular,0.049,Snack Foods,203.96,1999,Medium,Tier 1,Departmental Store,5046.33
14.21,Low Sugar,0.142,Fruits and Vegetables,152.13,2009,Medium,Tier 2,Supermarket Type2,3909.55
14.9,Low Sugar,0.05,Snack Foods,199.95,1999,Medium,Tier 1,Departmental Store,5043.15
9.02,Low Sugar,0.108,Snack Foods,106.93,1998,Small,Tier 3,Food Mart,1812.78
12.86,Low Sugar,0.062,Fruits and Vegetables,139.32,2009,Medium,Tier 2,Supermarket Type2,3341.99
15.57,No Sugar,0.173,Health and Hygiene,157.75,1999,Medium,Tier 1,Departmental Store,4330.81
15.16,Low Sugar,0.012,Canned,158.13,1999,Medium,Tier 1,Departmental Store,4246.67
11.22,Low Sugar,0.027,Meat,144.32,2009,Medium,Tier 2,Supermarket Type2,3075.12
11.96,Regular,0.077,Breads,153.4,2009,Medium,Tier 2,Supermarket Type2,3428.18
16.53,Low Sugar,0.042,Baking Goods,181.12,1999,Medium,Tier 1,Departmental Store,5027.6
13.04,Low Sugar,0.172,Breads,154.12,2009,Medium,Tier 2,Supermarket Type2,3686.22
14.67,Regular,0.072,Canned,150.17,2009,Medium,Tier 2,Supermarket Type2,3973.91
13.61,Low Sugar,0.036,Snack Foods,136.92,2009,Medium,Tier 2,Supermarket Type2,3462.97
13.62,Regular,0.108,Fruits and Vegetables,179.95,1999,Medium,Tier 1,Departmental Store,4345.02
12.04,Low Sugar,0.013,Dairy,101.35,1987,High,Tier 2,Supermarket Type1,2380.12
11.69,No Sugar,0.142,Household,115.05,2009,Medium,Tier 2,Supermarket Type2,2580.96
9.92,Low Sugar,0.031,Fruits and Vegetables,153.3,2009,Medium,Tier 2,Supermarket Type2,2964.44
12.18,Low Sugar,0.017,Fruits and Vegetables,168.17,2009,Medium,Tier 2,Supermarket Type2,3778.49
10.42,No Sugar,0.091,Health and Hygiene,155.82,2009,Medium,Tier 2,Supermarket Type2,3128.43
16.52,Regular,0.121,Snack Foods,111.49,2009,Medium,Tier 2,Supermarket Type2,3599.12
14.15,Low Sugar,0.014,Fruits and Vegetables,169.94,1999,Medium,Tier 1,Departmental Store,4260.86
12.17,Low Sugar,0.022,Baking Goods,132.58,2009,Medium,Tier 2,Supermarket Type2,3048.81
13.23,Low Sugar,0.019,Frozen Foods,175.13,1987,High,Tier 2,Supermarket Type1,4158.06
11.55,Low Sugar,0.07,Snack Foods,137.99,2009,Medium,Tier 2,Supermarket Type2,3019.18
11.71,No Sugar,0.061,Health and Hygiene,165.52,2009,Medium,Tier 2,Supermarket Type2,3617.53
9.11,No Sugar,0.054,Household,123.37,1998,Small,Tier 3,Food Mart,2167.55
13.46,Regular,0.161,Snack Foods,188.36,1999,Medium,Tier 1,Departmental Store,4480.26
12.52,Regular,0.119,Fruits and Vegetables,105.32,1999,Medium,Tier 1,Departmental Store,6104.19
16.67,Regular,0.033,Fruits and Vegetables,233.57,1999,Medium,Tier 1,Departmental Store,6132.54
14.82,Low Sugar,0.072,Breakfast,178.16,1987,High,Tier 2,Supermarket Type1,4579.88
11.09,Low Sugar,0.158,Soft Drinks,153.24,2009,Medium,Tier 2,Supermarket Type2,3227.98
11.72,Low Sugar,0.057,Dairy,155.53,2009,Medium,Tier 2,Supermarket Type2,3415.93
12.0,Low Sugar,0.097,Snack Foods,157.77,2009,Medium,Tier 2,Supermarket Type2,3524.53
14.51,Regular,0.09,Snack Foods,189.42,1987,High,Tier 2,Supermarket Type1,4739.56
11.58,No Sugar,0.09,Household,123.81,2009,Medium,Tier 2,Supermarket Type2,2735.03
10.91,Low Sugar,0.099,Baking Goods,109.32,1998,Small,Tier 3,Food Mart,2287.11
14.88,Low Sugar,0.292,Dairy,186.77,1987,High,Tier 2,Supermarket Type1,4769.76
11.07,No Sugar,0.031,Others,136.57,2009,Medium,Tier 2,Supermarket Type2,2882.67
10.92,No Sugar,0.087,Household,116.87,1998,Small,Tier 3,Food Mart,2038.64
14.79,No Sugar,0.144,Health and Hygiene,128.07,2009,Medium,Tier 2,Supermarket Type2,3547.76
12.7,Regular,0.076,Meat,107.86,2009,Medium,Tier 2,Supermarket Type2,2663.33
12.1,No Sugar,0.057,Others,201.72,1999,Medium,Tier 1,Departmental Store,4446.42
12.42,Low Sugar,0.119,Soft Drinks,168.13,2009,Medium,Tier 2,Supermarket Type2,3833.04
10.19,Regular,0.129,Dairy,115.6,1998,Small,Tier 3,Food Mart,2254.59
11.9,Low Sugar,0.067,Baking Goods,158.76,2009,Medium,Tier 2,Supermarket Type2,3523.96
9.46,Regular,0.119,Baking Goods,73.87,1998,Small,Tier 3,Food Mart,1234.6
12.52,Low Sugar,0.142,Snack Foods,158.05,2009,Medium,Tier 2,Supermarket Type2,3649.03
14.47,Low Sugar,0.033,Fruits and Vegetables,181.67,1987,High,Tier 2,Supermarket Type1,4571.91
11.18,No Sugar,0.107,Household,100.57,1998,Small,Tier 3,Food Mart,2170.67
